c1                                                                                op21                                                                              c2                                                                                op23                                                                              c3                                                                                count
http://erlangen-crm.org/current/E42_Identifier                                    http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E8_Acquisition                                    9879
http://erlangen-crm.org/current/E8_Acquisition                                    http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E35_Title                                         9879
http://erlangen-crm.org/current/E53_Place                                         http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E8_Acquisition                                    9787
http://erlangen-crm.org/current/E8_Acquisition                                    http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E53_Place                                         9787
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P91_has_unit                                      http://erlangen-crm.org/current/E58_Measurement_Unit                              9000
http://erlangen-crm.org/current/E58_Measurement_Unit                              http://erlangen-crm.org/current/P91_has_unit                                      http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          9000
http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P138_represents                                   http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P1_is_identified_by                               http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation                 8972
http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation                 http://erlangen-crm.org/current/P1_is_identified_by                               http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P138_represents                                   http://erlangen-crm.org/current/E22_Man-Made_Object                               8972
http://erlangen-crm.org/current/E30_Right                                         http://erlangen-crm.org/current/P104_is_subject_to                                http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P1_is_identified_by                               http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation                 8871
http://erlangen-crm.org/current/E75_Conceptual_Object_Appellation                 http://erlangen-crm.org/current/P1_is_identified_by                               http://erlangen-crm.org/current/E38_Image                                         http://erlangen-crm.org/current/P104_is_subject_to                                http://erlangen-crm.org/current/E30_Right                                         8871
